,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,tuition,[tju:'i??n],n.学费；(某一学科的)教学，讲授，指导
,tumble,['t?mbl],v.突然跌倒；突然下跌，倒塌
,tumid,['tju:mid],a.肿起的，肿胀的
,tumor,['tju:m?],"n.肿大,肿块;肿瘤"
,tumour,['tju:m?],n.(tumor)(肿)瘤，肿块
,tumult,['tju:m?lt],n.乱哄哄，骚乱(声)
,tundra,['t?ndr?],n.冻原，苔原
,tune,"[tju:n, tu:n]","n.调子,曲调;和谐,协调 vt.调音,调节,调整"
,tunnel,['t?n?l],"n.隧道,山洞"
,turbid,['t?:bid],a.混浊的(有悬浮物的)
,turbine,"['t?:bain, -bin]","n.汽轮机,涡轮机"
,turbulence,['t?:bjul?ns;'t?:bj?l?ns],"n.喧嚣,骚乱"
,turbulent,['t?:bjul?nt],a.导致动乱的；骚乱的
,tureen,[t?'ri:n],n.有盖的汤碗
,turgid,['t?:d?id],a.浮肿的，肿胀的；(贬)(文，语言)浮夸的
,turkey,['t?:ki],n.火鸡(肉)
,turmoil,['t?:m?il],n.混乱，骚乱
,turn,[t?:n],v./n.(使)转动;(使)旋转;(使)转变 n.机会
,turn down,,"v.拒绝,摒斥;把(音量)调低"
,turncoat,['t?:nk?ut],n.背叛者，变节者
,turnip,['t?:nip],n.萝卜
,turnover,"['t?:n,?uv?]",n.翻倒(物);人员调整;(资金等)周转;营业额
,turnpike,,"n.公路,收费高速公路"
,turpitude,['t?:pitju:d],n.邪恶，卑鄙(行为)
,turquoise,['t?:kw?iz],n.绿松石；a.蓝绿的
,turret,['t?rit],n.塔楼，角塔
,turtle,['t?:tl;'t?:t?l],n.海龟;甲鱼
,tusk,[t?sk],n.(象)长牙
,tussle,['t?sl],v./n.扭打，搏斗；争辩
,tutelage,['tju:tilid?],n.监护，指导
,tutelary,['tju:til?ri;'tju:t?leri:],a.保护的
,tutor,['tju:t?],n.助教；监护人；v.辅导
,tutorial,[tju:'t?:ri?l;tju:'t?uri?l],n.个别指导;a.个别指导的;辅导的;家庭教师的
,tuxedo,[t?k'si:d?u],n.无尾礼服(半正式晚礼服)
,TV,,n.(television)电视；电视机
,twaddle,['tw?dl],n.胡说八道，瞎扯
,tweak,[twi:k],"v.扭,拧，揪；调节，微调"
,twelve,[twelv],num.十二 pron./a.十二(个，只...)
,twenty,['twenti],num.二十 pron./a.二十(个，只...)
,twice,[twais],"ad.两次,两倍"
,twig,[twiɡ],n.小枝，嫩枝
,twilight,['twailait;'twai?lait],n.黎明;黄昏;曙光;暮色
,twin,[twin],"a.双的,成对的,孪生的 n.孪生子,双生子"
,twine,[twain],"v.搓,织,编饰;(使)缠绕"
,twinge,[twind?],n.(生理，心理上的)剧痛
,twinkle,['twi?kl],vi.(星等)闪烁，(眼情)发亮 n.闪烁，闪光
,twist,[twist],v.捻;拧;扭曲;蜿蜒曲折而行 n.拧;歪曲;曲折
,twitch,[twit?],v./n.抽搐;痉挛;猛拉
,two,[tu:],num.二，两个n.两个(人或物)
,two/three dimensional,,a.两/三维的
,tycoon,[tai'ku:n],"n.有钱有势的企业家,大亨"
,tympanitis,[?timp?'naitis],n.中耳炎
,tympanum,['timp?n?m],"n.鼓膜,耳膜;中耳"
,type,[taip],n.型式，类型；印刷字体；活/铅字 v.打字
,typewriter,"['taip,rait?]",n.打字机
,typhoid,['taif?id],n./a.伤寒(的)
,typhoon,[tai'fu:n],n.台风
,typhus,['taif?s],n.斑疹伤寒
,typical,['tipik?l],"a.(of)典型的,有代表性的"
,typify,['tipifai;'tip??fai],"vt.代表,为...之典型"
,typist,['taipist],n.打字员
,typo,['taip?u],n.排印错误
,typographical,"[,taip?'ɡr?fik?l]",a.印刷上的
,typology,[tai'p?l?d?i],n.[语]类型学;象征论
,tyrannical,[tai'r?nik?l;ti'r?nikl],"a.暴君的,专制的,残酷的"
,tyranny,['tir?ni],n.暴政，专制统治；暴行
,tyrant,['tai?r?nt],n.暴君
,tyre,[tai?],n.轮胎
,tyro,['tai?r?u],n.新手
,tyrosine,['tir?si:n;'tair??si:n],n.[生化]酷氨酸
,ubiquitous,[ju:'bikwit?s],a.无所不在的
,ugly,['?ɡli],a.难看的，可怕的
,ulcer,['?ls?],n.溃疡；腐烂物
,ulcerate,['?ls?reit],v.溃烂，生恶疮
,ulterior,[?l'ti?ri?],a.较晚的，较远的；不可告人的
,ultimate,['?ltimit],a.最后的
,ultimatum,[??lti'meit?m;??lt?'meit?m],n.最后的话;基本原理;最后通牒
,ultra,['?ltr?],pref.在...那边;极端;超;过
,ultramundane,"[,?ltr?'m?ndein]",a.超俗的，世界之外的
,ultrared,[??ltr?'red],a.红外线的
,ultrasonic,[??ltr?'s?nik],a.超声(波)的
,ultrasonics,[??ltr?'s?niks],n.超声波(学)
,ultrasturture,,n.超微结构
,ultraviolet,"[,?ltr?'vai?l?t]",a./n.紫外线(的)
,umbilicus,[?m'bilik?s],"n.脐;中心,核心"
,umbrage,['?mbrid?],n.不快，感到受了侮辱或冒犯
,umbrella,[?m'brel?],n.伞
,umpire,['?mpai?],n.裁判；v.对?进行仲裁
,unadorned,['?n?'d?:nd;??n?'d?r?nd],"a.未装饰的,朴实的"
,unaffected,"[,?n?'fektid]",a.自然的，不矫揉造作的
,unalloyed,['?n?'l?id;??n?'l?id],"a.纯粹的,纯真的"
,unanimity,[?ju:n?'nimiti;?ju:n?'nim?ti],"n.全体一致,一致同意"
,unanimous,[ju(:)'n?nim?s],a.全体意见一致的
,unassailable,[??n?'seil?bl;??n?'seil?b?l],"a.攻不破的,无争论余地的,无懈可击的"
,unassuming,['?n?'sju:mi?],a.不摆架子的，不造作的
,unavoidable,[??n?'v?id?bl;??n?'v?id?b?l],a.不可避免的
,unbearable,['?n'b??r?bl;?n'ber?b?l],"a.无法忍受的,承受不住的"
,unbecoming,['?nbi'k?mi?],a.不合身的；不得体的，不适当的
,unbend,['?n'bend],v.弄直；放松，变得随便
,unbiased,['?n'bai?st;?n'bai?st],a.没有偏见的
,unbidden,"[,?n'bidn]",a.未经邀请的
,unbosom,"[,?n'buz?m]",v.倾诉，吐露心事
,unbridgeable,['?n'brid??bl;?n'brid??b?l],"a.不能架桥的,不能逾越的"
,unbridled,"[,?n'braidld]",a.放纵的
,unbroken,['?n'br?uk?n;?n'br?uk?n],a.完整的;持续的
,uncanny,[?n'k?ni],a.不可思议的，异乎寻常的
,uncharted,['?n't?ɑ:tid;?n't?ɑ:tid],a.地图上没标明的
,uncle,['??kl],n.伯父，叔父，舅父，姑父，姨父
,uncommitted,['?nk?'mitid],a.不受约束的；不承担责任的
,uncommon,[?n'k?m?n],a.罕见的;非凡的;不平常的
,unconscionable,[?n'k?n??n?bl],a.无节制的，过度的，不合理的
,unconscious,[?n'k?n??s],a.不省人事的；未意识到的
,unconventional,['?nk?n'ven??n?l],"a.非传统的,与先前不同的"
,unconvincing,['?nk?n'vinsi?;],a.不足以令人相信的
,uncooperative,"[,?nk?u'?p?r?tiv]",a.不愿合作的
,uncouth,[?n'ku:θ],a.粗野笨拙的，无教养的；拙于说话的
,uncover,"[,?n'k?v?]","v.揭开,揭露"
,uncredited,[?n'kreditid],"a.无归属的,未被承认的,未被记入贷方的"
,unctuous,['??ktju?s],a.油质的；油腔滑调的
,under,['?nd?],prep.在…下面； 在…以下 ad.在下面；少于
,underbid,['?nd?'bid],v.要价过低
,undercut,['?nd?k?t],v.削价与(竞争者)抢生意
,underdeveloped,['?nd?di'vel?pt],a.不发达的
,underdog,['?nd?d?ɡ],n.处于劣势的人或国家
,underestimate,"[,?nd?'estimeit]",vt.低估，看轻
,underestimated,['?nd?r'estimeitid],a.低估的
,undergird,['?nd?'ɡ?:d],v.从底部加强，加固
,undergo,"[,?nd?'ɡ?u]","vt.遭受,经历,承受"
,undergraduate,"[,?nd?'ɡr?dju?t]","n.大学生,大学肆业生"
,underground,['?nd?ɡraund],a.地下的;秘密的 n.地铁 ad.在地下
,underhanded,['?nd?h?ndid],a.不光明的，卑鄙的
,underlie,"[,?nd?'lai]","vt.位于...之下, 成为...的基础"
,underline,"[,?nd?'lain, '?nd?lain]",vt.在…下划线;强调
,underling,['?nd?li?],n.下属，手下
,underlying,['?nd?'laii?],a.在下面的，根本的
,undermine,"[,?nd?'main]",v.(从根基处)破坏，损坏
,underneath,"[,?nd?'ni:θ]","prep.在…下面 ad.在下面,在底下"
,underpin,[??nd?'pin],"vt.加强...的基础,巩固,支撑"
,underplay,['?nd?'plei],v.淡化?的重要性；表演(角色)不充分
,underrate,[?nd?'reit],v.低估，轻视，对?评价过低
,underscore,"[,?nd?'sk?:]",v.在?之下划线；强调
,understand,"[,?nd?'st?nd]","v.懂,理解;获悉,听说;揣测,认为"
,understanding,"[,?nd?'st?ndi?]","n.理解,理解力;谅解 a.了解的,通情达理的"
,understate,['?nd?'steit],v.掩饰地说，轻描淡写地说
,understated,['?nd?'steitid],a.不完全陈述的，轻描淡写的
,understatement,"[,?nd?'steitm?nt]",n.轻描淡写的陈述，不充分的陈述
,understudy,"['?nd?,st?di]",n.预备演员，替角；v.充当?的替角
,undertake,"[,?nd?'teik]","v.承担,担任;许诺,保证;着手,从事"
,undertaking,[??nd?'teiki?],n.承担;许诺;事业
,underutilized,"[,?nd?'ju:tilaizd]",a.未充分利用的
,underwater,['?nd??w?:t?],"a.在水下的,在水中的"
,underwear,['?nd?w??;'?nd??w??],n.内衣裤
,underwrite,['?nd?rait],v.同意负担?的费用；为?保险
,undeserved,[?ndi'z?:vd],a.不应得的，不公平的
,undesirable,['?ndi'zai?r?bl],a.令人不悦的，讨厌的；不想要的
,undeterred,['?ndi't?:d;??ndi't?:d],"a.顽强的,坚毅的,不屈不挠的"
,undifferentiated,[??ndif?'ren?ieitid],"a.无差别的,无显著特征的"
,undirected,['?ndi'rektid],a.未受指导的
,undisputable,"[,?ndis'pju:t?bl]",a.无可争辩的，毫无疑问的
,undistorted,['?ndis't?:tid;??ndis't?:tid],a.未失真的
,undisturbed,['?ndis't?:bd;??ndi'st?:bd],"a.没受干扰的,安静的"
,undo,"[,?n'du:]","v.松开,解开"
,undoubtedly,,"ad.无疑,必定"
,undue,['?n'dju:;?n'dju:],a.过分的;不适当的;未到期的
,undulate,['?ndjuleit],v.波动，起伏
,unearth,['?n'?:θ],v.挖出；发现
,unearthly,[?n'?:θli],a.奇异的，超自然的
,uneasy,"[,?n'i:zi]","a.不安的,焦虑的"
,unemployed,['?nim'pl?id;??nim'pl?id],a.失业的
,unemployment,"[,?nim'pl?im?nt]","n.失业,失业人数"
,unenlightened,['?nin'laitnd],a.愚昧无知的；不文明的
,unevenly,['?n'i:v?nli;?n'i:v?nli],ad.不平坦地;不均衡地
,unexceptionable,['?nik'sep??n?bl],a.无可非议的
,unexceptional,"[,?nik'sep??nl]",a.非例外的，普通的，平凡的
,unexpected,"[,?nik'spektid]","a.想不到的, 意外的, 未预料到"
,unexplored,['?niks'pl?:d;??nik'spl?urd],"a.未开发的,未探索的"
,unfailing,[?n'feili?],a.无尽的，无穷的
,unfair,[?n'f??],a.不公平的
,unfasten,['?n'fɑ:sn],v.解开
,unfavorable,['?n'feiv?r?bl;?n'feivr?b?l],a.不宜的;相反的;不顺利
,unfeasible,['?n'fi:z?bl;?n'fi:z?b?l],"a.不能实行的,难实施的"
,unfeigned,[?n'feind],a.真实的；不作假的
,unfertilized,['?n'f?:tilaizd;?n'f?:tlaizd],"a.未施肥的,未受精的"
,unflappable,['?n'fl?p?bl],a.不惊慌的，镇定的
,unfold,[?n'f?uld],v.展开，打开；逐渐呈现
,unfortunately,,ad.不幸地
,unfounded,['?n'faundid],a.无事实根据的
,unfrock,['?n'fr?k;?n'fr?k],"v.剥去法衣,解除僧职"
,ungainly,[?n'ɡeinli],a.笨拙的
,ungrudging,['?n'ɡr?d?i?],a.慷慨的
,unguent,['??ɡw?nt],n.药膏，软膏
,unicameral,[?ju:ni'k?m?r?l],"a.(议会)一院制的,单院的"
,unicellular,['ju:ni'seljul?;?ju:ni'selj?l?],a.单细胞(组成)的
,unicorn,['ju:nik?:n],n.(传说中的)独角兽
,unidimensional,['ju:nidi'men??nl],a.一方面的；一维的
,unification,"[,ju:nifi'kei??n]",n.统一，一致
,uniform,['ju:nif?:m],n.制服；a.相同的，一致的
,uniformity,[?ju:ni'f?:miti;?ju:n?'f?:m?ti],"n.同样,一式"
,unify,['ju:nifai],v.统一，使成一体；使相同
,unilateral,"[,ju:ni'l?t?r?l]",a.单方面的
,unimaginable,[??ni'm?d?in?bl],a.不可想象的
,unimpassioned,['?nim'p???nd],a.没有激情的
,unimpeachable,"[,?nim'pi:t??bl]",a.无可指摘的，无可置疑的
,uninhabited,[?nin'h?bitid],a.无人居住的
,uninitiated,[?ni'ni?ieitid],a.外行的，缺乏经验的
,unintelligible,['?nin'telid??bl],a.难理解的;晦涩难懂的
,union,['ju:ni?n],"n.联合,团结;联盟,联邦;协会,社团;和谐"
,unique,[ju:'ni:k],a.独一无二的，独特的
,uniqueness,[ju:'ni:knis],"n.独特,独一无二"
,unison,['ju:nisn],n.齐奏，齐唱；一致的或协调的行动
,unit,['ju:nit],"n.单位,单元;部件,元件;机组,装置"
,unite,[ju:'nait],"vi.联合,团结;统一,合并vt.使联合"
,unity,['ju:niti],"n.团结;统一,一致,整体"
,universal,"[,ju:ni'v?:s?l]","a.普遍的,全体的,通用的;宇宙的,世界的"
,universality,[?ju:niv?:'s?liti],"n.普遍性,一般性;(知识,才能,兴趣等)多方面性"
,universe,['ju:niv?:s],"n.宇宙,万物"
,university,"[,ju:ni'v?:s?ti]",n.(综合)大学
,univocal,"[,ju:ni'v?uk?l]",a.单一意思的，意思明确的
,unjustified,[?n'd??stifaid],a.未被证明为正当的，无法解释的
,unjustly,[?n'd??stli],adv.不正当地，不公平地
,unkempt,['?n'kempt],a.(衣服、头发)不整洁的
,unleash,['?n'li:?],v.发泄，释放
,unless,[?n'les],conj.除非 prep.除…外
,unlike,"[,?n'laik]","a.不同的,不相似的 prep.不象,和…不同"
,unlikely,"[,?n'laikli]","a.未必的,靠不住的"
,unload,"[,?n'l?ud]",vi.卸货;退子弹 vt.摆脱...之负担;倾销
,unmatched,[??n'm?t?t],a.无可匹敌的
,unmitigated,[?n'mitiɡeitid],a.未缓和的，未减轻的，全然的
,unmoved,['?n'mu:vd],a.无动于衷的，冷漠的；镇定的
,unnoticed,['?n'n?utist],a.不引人注意的
,unobstructed,['?n?b'str?ktid],a.畅通无阻的
,unobtrusive,['?n?b'tru:siv],a.不引人注目的
,unpack,['?n'p?k;?n'p?k],"vt.打开包裹(或行李),卸货"
,unpalatable,[?n'p?l?t?bl],a.令人讨厌的，令人无法认同的
,unparalleled,[?n'p?r?leld;?n'p?r??leld],"a.无比的,无双的,空前的"
,unprecedented,[?n'presid?ntid],a.前所未有的
,unpredictable,['?npri'dikt?bl],a.无法预言的;无法预测的
,unpremeditated,['?npri'mediteitid],a.非预谋的
,unprepossessing,[?npri:p?'zesi?],a.不吸引人的
pret,unpretentious,[?npri'ten??s],a.不炫耀的，不招摇的
,unprincipled,[?n'prins?pld],a.肆无忌惮的，不道德的
,unproductive,['?npr?'d?ktiv],a.徒然的，无成效的
,unpromising,['?n'pr?misi?;?n'pr?misi?],"a.无前途的,没有希望的"
,unprovoked,['?npr?'v?ukt],a.(生气等)无缘无故的
,unqualified,['?n'kw?lifaid],a.无资格的；无限制的，绝对的
,unquestionably,[?n'kwest??n?bli],"ad.无疑地,无可非议地"
,unquestioning,[?n'kwest??ni?],"a.不加疑问的,不犹豫的"
,unravel,[?n'r?v?l],v.解开，拆散
,unreflective,['?nri'flektiv;??nri'flektiv],a.不假思索的
,unregenerate,[?nri'd?en?r?t],a.不知悔改的
,unregulated,[?n'reɡjuleitid],a.未受管理的，未受约束的
,unremitting,['?nri'miti?],a.不间断的，持续的
,unrepentant,['?nri'pent?nt],a.不悔悟的，不后悔的
,unrequited,['?nri'kwaitid],a.无报答的，无回报的
,unreserved,['?nri'z?:vd],a.无限制的；未被预定的
,unrestrained,['?nris'treind;??nri'streind],a.无限制的
,unrestricted,['?nris'triktid;??nri'striktid],"a.无限制的,自由的"
,unruly,[?n'ru:li],a.不受拘束的;蛮横的
,unsatisfactory,['?n?s?tisf?kt?ri],a.令人不满意的
,unsavory,[?n'seiv?ri],"a.没味的,不香的;难吃的,难闻的"
,unscathed,['?n'skei?d],a.未受损伤的，未遭伤害的
,unscented,"[,?n'sentid]",a.无气味的
,unscrupulous,[?n'skru:pjul?s],a.肆无忌惮的，无道德原则的
,unscrupulously,,"ad.肆无忌惮地,无道德地"
,unscrupulousness,,"n.狂妄,肆无忌惮"
,unseasonably,,"ad.不合时令地,不合时宜地"
,unseemly,['?n'si:mli],a.不适当的，不宜的
,unselfish,['?n'selfi?;?n'selfi?],"a.不自私的,慷慨的"
,unsettle,['?n'setl],v.使不安宁，搅乱
,unsettling,['?n'setli?],a.令人不安的，扰乱的，使窘困的
,unsightly,[?n'saitli],"a.难看的,丑的"
,unsophisticated,['?ns?'fistikeitid],"a.不懂世故的,单纯的"
,unsound,['?n'saund],a.不结实的，不坚固的；无根据的
,unspoiled,[?n'sp?ild],a.未损坏的，未宠坏的
,unspotted,['?n'sp?tid],a.清白的，无污点的
,unstable,['?n'steibl;?n'steib?l],a.不稳定的
,unstinting,['?n'stinti?],a.极为慷慨的，大方的
,unsubstantiated,['?ns?b'st?n?ieitid],a.未经证实的，无事实根据的
,untamed,[?n'teimd],a.未驯服的
,untapped,[?n't?pt],a.未开发的，未利用的
,untenable,['?n'ten?bl;?n'ten?b?l],a.防守不了的;站不住脚的
,unthreatening,['?n'θret?ni?],a.不威胁的
,until,"[,?n'til]",conj.&prep.直到…为止，在…以前；直到…
,untimely,[?n'taimli],a.过早的；不适时的
,untold,['?n't?uld],a.无数的，数不清的
,untouched,['?n't?t?t;?n't?t?t],a.未触及的
,untoward,[?n't?u?d],a.不幸的，(坏事)没料到的
,untrammeled,[?n'tr?mld],a.自由自在的
,untutored,['?n'tju:t?d],a.未经教育的
,unusual,"[,?n'ju:?u?l]","a.不平常的,与众不同的"
,unviable,[?n'vai?b(?)l],"a.不能生存的,行不通的"
,unwarranted,['?n'w?r?ntid],a.没有根据的，不应当的
,unwieldy,[?n'wi:ldi],a.笨重的，笨拙的
,unwitting,"[,?n'witi?]",a.无心的，不经意的
,unwonted,[?n'w?untid],a.不寻常的；不习惯的
,unworldly,['?n'w?:ldli],a.非世俗的；精神上的
,up,[?p],ad.向上，...起来；...完；起床 prep.向上
,up-to-date,['?pt?'deit],a.现代化的，最新的；跟上时代的
,upbraid,[?p'breid],v.斥责，责骂
,update,"[?p'deit, '?pdeit]","v.更新,使现代化"
,updrafts,,"n.向上排气,通风"
,upfront,"[,?p'fr?nt]",a.坦率的
,upgrade,['?pɡreid],v.提升，给?升级
,upheaval,[?p'hi:v?l],n.动乱，大变动
,uphold,[?p'h?uld],v.维护，支持
,upland,['?pl?nd],"n.丘陵地带,高地"
,upon,[?'p?n],prep.在…上；在…旁 [=on]
,upper,['?p?],"a.上面的;上部的,较高的"
,uppermost,['?p?m?ust;'?p??m?ust],a./ad. 至上(的);最高(的)
,upright,['?p'rait],a.垂直的；正直的
,uproar,['?pr?:],n.喧闹，骚动
,uproarious,[?p'r?:ri?s],a.骚动的，喧嚣的；令人捧腹(大笑)的，非常有趣的
,uproot,[?p'ru:t],"v.连根拔起,拔除;根除,灭绝;赶出家园,被迫移开"
,upscale,['?p?skeil],a.高消费阶层的
,upscale clientele,[?klai?n'tel],n.高层次的顾客
,upset,"[?p'set, '?pset]","v.使…心烦意乱;打翻,推翻a.难过的;不安的"
,upside-down,['?psaid'daun;'?p?said'daun],a.颠倒的
,upstage,['?psteid?],a.骄傲的，高傲的
,upstairs,['?p'stε?z],ad.向楼上;在楼上;上楼 ad.楼上的
,upstart,['?pstɑ:t],n.突然升官的人，暴发户
,upstate,['?p'steit],"a.(指美国的一州内)远离大城市的,偏北的;n.州的北部"
,upsurge,[?p's?:d?],n.(情绪)高涨
,upswing,['?pswi?],n.上升，增长
,uptight,['?p'tait],a.焦虑不安的
,upturn,"[?p't?:n,'?pt?:n]",n.(情况)好转;(价格)提高;向上的趋势
,upward,['?pw?d],"a.向上的,上升的 ad.向上"
,uranium,[ju?'reini?m;ju'reini?m],n.[化]铀
,urban,['?:b?n],"a.城市的, 市内的"
,urbane,[?:'bein],a.温文尔雅的
,urbanism,['?:b?n?izm;'?:b?n?iz?m],"n.都市生活,都市化"
,urbanite,['?:b?nait;'?:b?n?ait],n.都市人
,urbanization,[??:b?nai'zei??n],"n.都市化,文雅化"
,urbanize,['?:b?naiz;'?:b?n?aiz],"vt.使都市化,使文雅"
,urchin,['?:t?in],n.顽童；[动物]海胆
,urea,['ju?ri?;ju'ri:?],n.尿素
,uremia,[ju'ri:mi?],n.尿毒症
,ureter,[ju'ri:t?],n.输尿管
,urethra,[ju'ri:θr?],n.尿道
,uretic,[ju'retik],a.尿的;利尿的;n.利尿剂
,urge,[?:d?],"vt.催促;怂恿;强调 n.强烈欲望,迫切要求"
,urgency,['?:d??nsi],n.紧急情况
,urgent,['?:d??nt],a.迫切的，紧急的
,urinary,['ju?rin?ri;'jur??neri],a.尿的;泌尿的
,urinate,['ju?rineit;'jur??neit],"v.排尿,小便"
,urine,['ju?rin;'jurin],n.尿
,urology,[ju?'r?l?d?i;ju'r?l?d?i],n.泌尿学
,ursine,['?:sain],a.熊的，像熊的
,urticaria,['?:ti'k??ri?;??:ti'keri?],"n.荨麻疹,风疹"
,us,[?s],pron.我们(we的宾格形式)
,usage,['ju:zid?],n.使用，用法；习惯，习俗；惯用法
,use,[ju:z],n.使/应用；用法/途；益/用处 vt.用；消耗
,used,[ju:zd],a.用旧了的，旧的；习惯于…；过去惯/经常
,useful,['ju:sful],a.有用的，实用的；有益的，有帮助的
,usher,['???],n.引座员;接待员
,usual,['ju:?u?l],"a.通常的,平常的"
,usually,,"ad.通常,平常"
,usurp,[ju:'z?:p],v.篡夺，霸占(权位)
,usury,['ju:?uri],n.放高利贷
,utensil,[ju(:)'tensl],n.工具，(厨房)用具
,uteritis,[ju:t?'raitis],n.子宫炎
,uterus,['ju:t?r?s],n.子宫
,utilitarian,"[,ju:tili'te?ri?n]",a.功利的，实用的
,utility,[ju:'tiliti;ju:'til?ti],"n.公用事业公司;公用事业设备;运用,效用"
,utilization,[?ju:tilai'zei??n],n.利用
,utilize,[ju:'tilaiz],v.利用，使用
,utmost,['?tm?ust],"a.最远的;极度的 n.极限,极度,最大可能"
,utopia,[ju:'t?upj?],n.理想国，理想的完美境界
,utopian,[ju:'t?upj?n],a.乌托邦式的，空想的，不切实际的
,utter,['?t?],a.完全的；v.发出声音
,utterance,['?t?r?ns],"n.说话,说话的方式"
,utterly,['?t?li],"ad.完全地,绝对地"
,uvula,['ju:vjul?;'ju:vj?l?],"n.悬雍垂,小舌"
,uxorious,[?k's?:ri?s],a.宠爱妻子的
,vacancy,['veik?nsi],"n.空白,空缺"
,vacant,['veik?nt],"a.空的,未占用的;空缺的;神情茫然的"
,vacate,[vei'keit;'veikeit],"vt.腾出,空出"
,vacation,[v?'kei??n],"n.休假,假期"
,vaccinate,['v?ksineit],v.给?接种疫苗
,vaccine,['v?ksi:n],n.牛痘苗，疫苗
,vacillate,['v?sileit],v.举棋不定，踌躇
,vacuous,['v?kju?s],a.发呆的，愚笨的
